group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
124,2533,2020-11-04,2750.5536,65.09850311279297,2.826202564031429,2020,0.6,0.4,124,179,0.2006457242598234,0.05132326815954441,0.2006457242598234,0.05132326815954441
125,2534,2020-11-05,2787.8779999999997,65.87229919433594,2.8645535036317105,2020,0.7,0.4,125,179,0.2006457242598234,0.06402425070250556,0.2006457242598234,0.06402425070250556
126,2535,2020-11-06,2733.0715,64.49770355224611,2.80823965073112,2020,0.6,0.4,126,179,0.2006457242598234,0.04525505461529276,0.2006457242598234,0.04525505461529276
127,2536,2020-11-09,2813.9978,66.34539794921875,2.8913916811287743,2020,0.7,0.4,127,179,0.2006457242598234,0.07271206821839028,0.2006457242598234,0.07271206821839028
128,2565,2020-12-18,2780.7302,59.259498596191406,2.8572091164191926,2020,0.6,0.4,128,179,0.2006457242598234,0.018659307544471617,0.2006457242598234,0.018659307544471617
129,2586,2021-01-19,3084.4881,67.38529968261719,3.1693213238761944,2021,0.7,0.4,129,183,0.2006457242598234,0.11530094734358033,0.2006457242598234,0.11530094734358033
130,2592,2021-01-27,3281.0305,71.97440338134766,3.3712692644002,2021,0.8,0.5,130,184,0.2006457242598234,0.16829675920415857,0.2006457242598234,0.16829675920415857
131,2595,2021-02-01,3159.9933,69.09639739990234,3.2469031567980124,2021,0.7,0.5,131,186,0.2006457242598234,0.13644003612286146,0.2006457242598234,0.13644003612286146
132,2604,2021-02-19,3285.5347,71.05480194091797,3.3758973442125373,2021,0.8,0.5,132,186,0.16943695648686963,0.16943695648686963,0.16943695648686963,0.16943695648686963
133,2614,2021-03-05,2871.9719,65.67169952392578,2.9509602530945833,2021,0.7,0.4,133,191,0.049836211837588004,0.049836211837588004,0.049836211837588004,0.049836211837588004
134,2615,2021-03-08,2728.8437,61.4822998046875,2.803895572797059,2021,0.6,0.4,134,191,0.0,-0.0,0.0,-0.0
